Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.231872	0	0	0	LastDelay	0.231872	231872	1	8
0.231872	0	0	0	FullDelay	0.231872	231872	1	8
0.241872	0	0	1	LastDelay	0.231872	231872	1	8
0.241872	0	0	1	FullDelay	0.231872	231872	1	8
0.251872	0	0	2	LastDelay	0.231872	231872	1	8
0.251872	0	0	2	FullDelay	0.231872	231872	1	8
0.261872	0	0	3	LastDelay	0.231872	231872	1	8
0.261872	0	0	3	FullDelay	0.231872	231872	1	8
0.271872	0	0	4	LastDelay	0.231872	231872	1	8
0.271872	0	0	4	FullDelay	0.231872	231872	1	8
0.281872	0	0	5	LastDelay	0.231872	231872	1	8
0.281872	0	0	5	FullDelay	0.231872	231872	1	8
0.291872	0	0	6	LastDelay	0.231872	231872	1	8
0.291872	0	0	6	FullDelay	0.231872	231872	1	8
0.301872	0	0	7	LastDelay	0.231872	231872	1	8
0.301872	0	0	7	FullDelay	0.231872	231872	1	8
0.311872	0	0	8	LastDelay	0.231872	231872	1	8
0.311872	0	0	8	FullDelay	0.231872	231872	1	8
0.321872	0	0	9	LastDelay	0.231872	231872	1	8
0.321872	0	0	9	FullDelay	0.231872	231872	1	8
0.331872	0	0	10	LastDelay	0.231872	231872	1	8
0.331872	0	0	10	FullDelay	0.231872	231872	1	8
0.341872	0	0	11	LastDelay	0.231872	231872	1	8
0.341872	0	0	11	FullDelay	0.231872	231872	1	8
0.351872	0	0	12	LastDelay	0.231872	231872	1	8
0.351872	0	0	12	FullDelay	0.231872	231872	1	8
0.361872	0	0	13	LastDelay	0.231872	231872	1	8
0.361872	0	0	13	FullDelay	0.231872	231872	1	8
0.371872	0	0	14	LastDelay	0.231872	231872	1	8
0.371872	0	0	14	FullDelay	0.231872	231872	1	8
0.381872	0	0	15	LastDelay	0.231872	231872	1	8
0.381872	0	0	15	FullDelay	0.231872	231872	1	8
0.391872	0	0	16	LastDelay	0.231872	231872	1	8
0.391872	0	0	16	FullDelay	0.231872	231872	1	8
0.401872	0	0	17	LastDelay	0.231872	231872	1	8
0.401872	0	0	17	FullDelay	0.231872	231872	1	8
0.411872	0	0	18	LastDelay	0.231872	231872	1	8
0.411872	0	0	18	FullDelay	0.231872	231872	1	8
0.421872	0	0	19	LastDelay	0.231872	231872	1	8
0.421872	0	0	19	FullDelay	0.231872	231872	1	8
0.431872	0	0	20	LastDelay	0.231872	231872	1	8
0.431872	0	0	20	FullDelay	0.231872	231872	1	8
0.441872	0	0	21	LastDelay	0.231872	231872	1	8
0.441872	0	0	21	FullDelay	0.231872	231872	1	8
0.451872	0	0	22	LastDelay	0.231872	231872	1	8
0.451872	0	0	22	FullDelay	0.231872	231872	1	8
0.461872	0	0	23	LastDelay	0.231872	231872	1	8
0.461872	0	0	23	FullDelay	0.231872	231872	1	8
0.471872	0	0	24	LastDelay	0.231872	231872	1	8
0.471872	0	0	24	FullDelay	0.231872	231872	1	8
0.481872	0	0	25	LastDelay	0.231872	231872	1	8
0.481872	0	0	25	FullDelay	0.231872	231872	1	8
0.491872	0	0	26	LastDelay	0.231872	231872	1	8
0.491872	0	0	26	FullDelay	0.231872	231872	1	8
0.501872	0	0	27	LastDelay	0.231872	231872	1	8
0.501872	0	0	27	FullDelay	0.231872	231872	1	8
0.511872	0	0	28	LastDelay	0.231872	231872	1	8
0.511872	0	0	28	FullDelay	0.231872	231872	1	8
0.521872	0	0	29	LastDelay	0.231872	231872	1	8
0.521872	0	0	29	FullDelay	0.231872	231872	1	8
0.531872	0	0	30	LastDelay	0.231872	231872	1	8
0.531872	0	0	30	FullDelay	0.231872	231872	1	8
0.541872	0	0	31	LastDelay	0.231872	231872	1	8
0.541872	0	0	31	FullDelay	0.231872	231872	1	8
0.551872	0	0	32	LastDelay	0.231872	231872	1	8
0.551872	0	0	32	FullDelay	0.231872	231872	1	8
0.561872	0	0	33	LastDelay	0.231872	231872	1	8
0.561872	0	0	33	FullDelay	0.231872	231872	1	8
0.571872	0	0	34	LastDelay	0.231872	231872	1	8
0.571872	0	0	34	FullDelay	0.231872	231872	1	8
0.581872	0	0	35	LastDelay	0.231872	231872	1	8
0.581872	0	0	35	FullDelay	0.231872	231872	1	8
0.591872	0	0	36	LastDelay	0.231872	231872	1	8
0.591872	0	0	36	FullDelay	0.231872	231872	1	8
0.601872	0	0	37	LastDelay	0.231872	231872	1	8
0.601872	0	0	37	FullDelay	0.231872	231872	1	8
0.611872	0	0	38	LastDelay	0.231872	231872	1	8
0.611872	0	0	38	FullDelay	0.231872	231872	1	8
0.621872	0	0	39	LastDelay	0.231872	231872	1	8
0.621872	0	0	39	FullDelay	0.231872	231872	1	8
0.631872	0	0	40	LastDelay	0.231872	231872	1	8
0.631872	0	0	40	FullDelay	0.231872	231872	1	8
0.641872	0	0	41	LastDelay	0.231872	231872	1	8
0.641872	0	0	41	FullDelay	0.231872	231872	1	8
0.651872	0	0	42	LastDelay	0.231872	231872	1	8
0.651872	0	0	42	FullDelay	0.231872	231872	1	8
0.661872	0	0	43	LastDelay	0.231872	231872	1	8
0.661872	0	0	43	FullDelay	0.231872	231872	1	8
0.671872	0	0	44	LastDelay	0.231872	231872	1	8
0.671872	0	0	44	FullDelay	0.231872	231872	1	8
0.681872	0	0	45	LastDelay	0.231872	231872	1	8
