Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	1	internal://	InInterests	0	0	0	0
0.5	0	1	internal://	OutInterests	0	0	0	0
0.5	0	1	internal://	InData	0	0	0	0
0.5	0	1	internal://	OutData	0	0	0	0
0.5	0	1	internal://	InNacks	0	0	0	0
0.5	0	1	internal://	OutNacks	0	0	0	0
0.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	0	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	2	internal://	InInterests	0	0	0	0
0.5	0	2	internal://	OutInterests	0	0	0	0
0.5	0	2	internal://	InData	0	0	0	0
0.5	0	2	internal://	OutData	0	0	0	0
0.5	0	2	internal://	InNacks	0	0	0	0
0.5	0	2	internal://	OutNacks	0	0	0	0
0.5	0	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	0	2	internal://	InTimedOutInterests	0	0	0	0
0.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	256	internal://	InInterests	0	0	0	0
0.5	0	256	internal://	OutInterests	0	0	0	0
0.5	0	256	internal://	InData	0	0	0	0
0.5	0	256	internal://	OutData	0	0	0	0
0.5	0	256	internal://	InNacks	0	0	0	0
0.5	0	256	internal://	OutNacks	0	0	0	0
0.5	0	256	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	0	256	internal://	InTimedOutInterests	0	0	0	0
0.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	258	netdev://[00:00:00:00:00:09]	InInterests	0	0	0	0
0.5	0	258	netdev://[00:00:00:00:00:09]	OutInterests	80	2.42188	50	1.51367
0.5	0	258	netdev://[00:00:00:00:00:09]	InData	43.2	44.55	27	27.8438
0.5	0	258	netdev://[00:00:00:00:00:09]	OutData	0	0	0	0
0.5	0	258	netdev://[00:00:00:00:00:09]	InNacks	0	0	0	0
0.5	0	258	netdev://[00:00:00:00:00:09]	OutNacks	0	0	0	0
0.5	0	258	netdev://[00:00:00:00:00:09]	InSatisfiedInterests	0	0	0	0
0.5	0	258	netdev://[00:00:00:00:00:09]	InTimedOutInterests	0	0	0	0
0.5	0	258	netdev://[00:00:00:00:00:09]	OutSatisfiedInterests	43.2	0	27	0
0.5	0	258	netdev://[00:00:00:00:00:09]	OutTimedOutInterests	0	0	0	0
0.5	0	259	appFace://	InInterests	80	2.42188	50	1.51367
0.5	0	259	appFace://	OutInterests	0	0	0	0
0.5	0	259	appFace://	InData	0	0	0	0
0.5	0	259	appFace://	OutData	43.2	44.55	27	27.8438
0.5	0	259	appFace://	InNacks	0	0	0	0
0.5	0	259	appFace://	OutNacks	0	0	0	0
0.5	0	259	appFace://	InSatisfiedInterests	43.2	0	27	0
0.5	0	259	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	259	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	259	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	46.4	0	29	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	1	internal://	InInterests	0	0	0	0
0.5	1	1	internal://	OutInterests	0	0	0	0
0.5	1	1	internal://	InData	0	0	0	0
0.5	1	1	internal://	OutData	0	0	0	0
0.5	1	1	internal://	InNacks	0	0	0	0
0.5	1	1	internal://	OutNacks	0	0	0	0
0.5	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	1	1	internal://	OutSatisfiedInterests	1.6	0	1	0
0.5	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	2	internal://	InInterests	0	0	0	0
0.5	1	2	internal://	OutInterests	0	0	0	0
0.5	1	2	internal://	InData	0	0	0	0
0.5	1	2	internal://	OutData	0	0	0	0
0.5	1	2	internal://	InNacks	0	0	0	0
0.5	1	2	internal://	OutNacks	0	0	0	0
0.5	1	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	1	2	internal://	InTimedOutInterests	0	0	0	0
0.5	1	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	1.6	0	1	0
0.5	1	-1	all	TimedOutInterests	0	0	0	0
0.5	2	1	internal://	InInterests	0	0	0	0
0.5	2	1	internal://	OutInterests	0	0	0	0
0.5	2	1	internal://	InData	0	0	0	0
0.5	2	1	internal://	OutData	0	0	0	0
0.5	2	1	internal://	InNacks	0	0	0	0
0.5	2	1	internal://	OutNacks	0	0	0	0
0.5	2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	2	1	internal://	OutSatisfiedInterests	1.6	0	1	0
0.5	2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	2	internal://	InInterests	0	0	0	0
0.5	2	2	internal://	OutInterests	0	0	0	0
0.5	2	2	internal://	InData	0	0	0	0
0.5	2	2	internal://	OutData	0	0	0	0
0.5	2	2	internal://	InNacks	0	0	0	0
0.5	2	2	internal://	OutNacks	0	0	0	0
0.5	2	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	2	2	internal://	InTimedOutInterests	0	0	0	0
0.5	2	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	2	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	-1	all	SatisfiedInterests	1.6	0	1	0
0.5	2	-1	all	TimedOutInterests	0	0	0	0
0.5	3	1	internal://	InInterests	0	0	0	0
0.5	3	1	internal://	OutInterests	0	0	0	0
0.5	3	1	internal://	InData	0	0	0	0
0.5	3	1	internal://	OutData	0	0	0	0
0.5	3	1	internal://	InNacks	0	0	0	0
0.5	3	1	internal://	OutNacks	0	0	0	0
0.5	3	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	3	1	internal://	InTimedOutInterests	0	0	0	0
0.5	3	1	internal://	OutSatisfiedInterests	1.6	0	1	0
0.5	3	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	3	2	internal://	InInterests	0	0	0	0
0.5	3	2	internal://	OutInterests	0	0	0	0
0.5	3	2	internal://	InData	0	0	0	0
0.5	3	2	internal://	OutData	0	0	0	0
0.5	3	2	internal://	InNacks	0	0	0	0
0.5	3	2	internal://	OutNacks	0	0	0	0
0.5	3	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	3	2	internal://	InTimedOutInterests	0	0	0	0
0.5	3	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	3	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	3	-1	all	SatisfiedInterests	1.6	0	1	0
0.5	3	-1	all	TimedOutInterests	0	0	0	0
0.5	4	1	internal://	InInterests	0	0	0	0
0.5	4	1	internal://	OutInterests	0	0	0	0
0.5	4	1	internal://	InData	0	0	0	0
0.5	4	1	internal://	OutData	0	0	0	0
0.5	4	1	internal://	InNacks	0	0	0	0
0.5	4	1	internal://	OutNacks	0	0	0	0
0.5	4	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	4	1	internal://	InTimedOutInterests	0	0	0	0
0.5	4	1	internal://	OutSatisfiedInterests	1.6	0	1	0
0.5	4	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	4	2	internal://	InInterests	0	0	0	0
0.5	4	2	internal://	OutInterests	0	0	0	0
0.5	4	2	internal://	InData	0	0	0	0
0.5	4	2	internal://	OutData	0	0	0	0
0.5	4	2	internal://	InNacks	0	0	0	0
0.5	4	2	internal://	OutNacks	0	0	0	0
0.5	4	2	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	4	2	internal://	InTimedOutInterests	0	0	0	0
0.5	4	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	4	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	4	-1	all	SatisfiedInterests	1.6	0	1	0
0.5	4	-1	all	TimedOutInterests	0	0	0	0
0.5	5	1	internal://	InInterests	0	0	0	0
0.5	5	1	internal://	OutInterests	0	0	0	0
0.5	5	1	internal://	InData	0	0	0	0
0.5	5	1	internal://	OutData	0	0	0	0
0.5	5	1	internal://	InNacks	0	0	0	0
0.5	5	1	internal://	OutNacks	0	0	0	0
0.5	5	1	internal://	InSatisfiedInterests	0	0	0	0
